Ticker,SMA_20,SMA_50,SMA_100,SMA_150,SMA_200,Best_SMA,Best_Return
NTAP,-82.50907753851733,-48.08870124446268,-29.163682656677747,32.825698978972774,60.53551113185763,200,60.53551113185763
NVDA,169.04258035497938,116.99724435522627,153.46164278868585,141.21352220435062,148.92234634868876,20,169.04258035497938
META,-24.736995387416993,0.6019112607538291,174.6782267920211,143.70277766211652,123.99192627376272,100,174.6782267920211
SMCI,-73.06650453331757,-57.41691158089483,25.077710669814934,119.69517523926041,201.71612165186787,200,201.71612165186787
LLY,17.15088416483338,-8.051736294675182,32.98893035738485,83.089859326802,122.9347832851615,200,122.9347832851615
SPY,24.992007698832918,-2.9125043871127576,22.494411908981515,19.37323137594742,15.458866788935522,20,24.992007698832918
QQQ,40.807419861747206,25.395051117963796,49.070199711072014,77.55232986588099,51.16676202506639,150,77.55232986588099
BTC-USD,61.01443307548248,293.57709872562816,237.5618354105944,263.2847829932734,172.60865372843497,50,293.57709872562816
TSLA,340.94496387643056,152.26019452176226,89.14842842412087,41.529100899981366,3.298398017468962,20,340.94496387643056
SNOW,-83.4325172953903,23.16876260729058,-90.2398539091888,-71.13985082438907,-78.72390648178697,50,23.16876260729058
MSFT,-62.20968658449094,-15.99871720112792,34.28807897724702,48.01714105023578,44.24762161620733,150,48.01714105023578
GOOG,-5.697324568062467,-70.23267201125057,43.81857382479405,80.55398087311977,62.48700807244047,150,80.55398087311977
AAPL,108.64409907472972,39.622211310769,29.751716359175152,-38.630802847042446,-0.5388977450129007,20,108.64409907472972
NFLX,-1.6032232192546236,43.8623822653081,29.24481025973278,77.80637050371135,61.36762906346799,150,77.80637050371135
CRWD,115.06471258745306,57.4086619967619,106.67850767573981,104.36594166066655,104.52403557844012,20,115.06471258745306
PANW,78.62048434369024,-69.83509985420213,-33.1109765539617,76.6993031004379,92.05449672379687,200,92.05449672379687
