Ticker,Market Cap
V,552150302720
ORCL,316930686976
PEP,234140483584
LIN,206092566528
DIS,187955429376
BX,144106668032
SPGI,132387995648
HON,130250219520
BLK,114499272704
ADP,99236700160
AMT,91373002752
SNPS,84269563904
PYPL,65153224704
PSX,59658526720
PCAR,55061434368
CPRT,50207895552
DHI,48098484224
ROST,46302543872
GWW,44207104000
COR,43950612480
PAYX,43119968256
HSY,39493300224
NDAQ,33986619392
VMC,32710019072
LYB,31946776576
CBRE,26656868352
WTW,25979701248
WEC,25527973888
BR,23249551360
STT,22627563520
STE,22026018816
LYV,21744070656
INVH,20979357696
AXON,20930451456
ES,20598110208
COO,18659213312
ATO,17184888832
EXPD,17070162944
TXT,16517394432
CE,16438702080
MAS,15125257216
TRMB,13411902464
INCY,12942654464
AOS,12051873792
AIZ,8904730624
FRT,8319106048
IVZ,7053350400
CMA,6706250752
